index,Num,prod,insp,date,buydate,ingr_A,ingr_B,ingr_C,wtcd,gram,label
2,20230618산천074246A,GBMD,C,2023-06-18,2023-09-18,399.4063,6.4035,6.9409,F3,970.32,1
9,20230518창하053396B,GGMD,L,2023-05-18,2023-07-08,130.0951,5.8245,6.2857,F1,2490.08,0
10,20230505창하063135B,KCMD,C,2023-05-05,2023-07-02,131.5192,5.804,6.0607,F3,487.37,0
12,20230505산천001612A,GBMD,K,2023-05-05,2023-06-04,128.5978,6.872,6.1705,F3,707.94,1
16,20230409수성016088C,JJBB,K,2023-04-09,2023-04-14,320.6915,5.7474,6.3695,F3,1978.66,0
21,20230424수성095979C,JJBB,Y,2023-04-24,2023-09-24,328.0215,5.9675,6.2429,F2,1984.63,1
28,20230420창하051621A,KCMD,L,2023-04-20,2023-06-25,329.2615,5.9874,5.6788,F1,717.18,1
48,20230602수성039708C,JJBB,L,2023-06-02,2023-12-22,393.4823,6.4783,6.8604,F2,2044.54,0
55,20230511수성042370C,JJBB,L,2023-05-11,2023-05-17,130.4924,6.3729,6.2506,F1,1783.45,0
60,20230620수성021316C,KCMD,K,2023-06-20,2023-06-28,396.7657,6.8931,6.324,F2,783.7,0
66,20230501오포055314A,GGMD,L,2023-05-01,2023-06-15,130.4579,5.8835,6.4808,F1,2555.17,0
67,20230615오포025802A,KCMD,P,2023-06-15,2023-07-10,395.3306,6.09,6.6279,F3,755.93,0
74,20230608수성070041C,KCMD,C,2023-06-08,2023-07-07,401.6854,6.2959,6.8064,F3,796.44,0
77,20230621창하046050B,KCMD,L,2023-06-21,2023-07-02,405.0937,6.3552,6.7642,F1,773.08,0
78,20230627창하059807B,KCMD,L,2023-06-27,2023-06-30,398.8254,6.5818,6.6967,F3,756.09,0
82,20230505창하075793B,KCMD,C,2023-05-05,2023-07-04,131.5202,5.7908,5.8058,F2,488.13,0
93,20230603창하083534A,JJBB,C,2023-06-03,2023-07-29,398.7722,6.3364,6.6994,F3,2060.44,0
97,20230605수성013522C,KCMD,K,2023-06-05,2023-09-20,399.5938,6.5003,6.8548,F3,792.09,1
105,20230610산천062746A,GBMD,C,2023-06-10,2023-08-22,397.3727,6.1638,6.8979,F2,969.86,0
112,20230525산천094347A,KCMD,Y,2023-05-25,2023-05-28,131.5341,7.6237,6.1441,F2,513.52,0
117,20230604오포038611A,KCMD,L,2023-06-04,2023-09-19,404.8326,6.4769,6.8383,F2,762.16,0
125,20230417오포099671A,GBMD,Y,2023-04-17,2023-04-20,333.7603,5.6518,6.3664,F2,907.18,1
126,20230505창하045166B,KCMD,L,2023-05-05,2023-07-28,130.6951,5.8217,6.0877,F1,487.48,0
132,20230604창하012178A,GBMD,K,2023-06-04,2023-06-27,393.6392,6.6307,6.6161,F3,989.48,0
136,20230605산천097085A,KCMD,Y,2023-06-05,2023-06-15,396.8033,6.1424,6.7881,F3,773.53,0
138,20230611오포007846A,KCMD,K,2023-06-11,2023-08-14,393.7077,6.3131,6.7991,F3,761.77,1
141,20230409오포017706A,JJBB,K,2023-04-09,2023-04-26,318.5679,5.7829,5.7892,F3,1975.1,0
143,20230515창하012351A,KCMD,K,2023-05-15,2023-06-10,128.2362,6.3785,5.6239,F3,520.58,1
145,20230406창하028655B,GBMD,P,2023-04-06,2023-05-01,321.0262,5.9325,6.4049,F2,917.78,0
148,20230509수성085698C,KCMD,Y,2023-05-09,2023-05-10,131.5494,5.5584,5.9892,F2,515.73,0
153,20230429창하005843B,KCMD,K,2023-04-29,2023-09-16,325.8562,5.6579,6.1695,F3,675.91,0
155,20230508창하091739B,GBMD,Y,2023-05-08,2023-06-19,131.4903,7.0404,5.7262,F3,714.2,0
159,20230403오포043741A,KCMD,L,2023-04-03,2023-06-22,322.1252,5.8071,5.9405,F3,681.4,0
161,20230626오포018528A,KCMD,K,2023-06-26,2023-10-14,402.8855,6.2057,6.7095,F3,767.21,0
162,20230511오포005081A,GBMD,K,2023-05-11,2023-09-16,128.5221,5.6547,6.5702,F3,705.49,0
163,20230412오포032506A,KCMD,L,2023-04-12,2023-10-28,319.9014,5.9953,6.1832,F3,687.58,0
174,20230416산천057965A,KCMD,L,2023-04-16,2023-07-10,319.9267,5.9128,5.7737,F3,703.73,0
178,20230411창하015275B,KCMD,K,2023-04-11,2023-07-29,322.485,6.115,5.8494,F3,674.77,1
179,20230606수성085255C,GGMD,Y,2023-06-06,2023-07-01,393.9592,7.0249,5.7174,F2,2706.99,1
189,20230506오포075419A,JJBB,C,2023-05-06,2023-06-12,131.5373,5.8803,5.7418,F1,1800.56,0
190,20230403수성094944C,KCMD,Y,2023-04-03,2023-06-27,319.385,5.7878,5.7931,F3,702.36,0
191,20230410창하055608A,KCMD,L,2023-04-10,2023-06-20,319.5251,5.8178,6.4511,F2,709.86,0
